"MSSubClass","MSZoning","LotArea","Alley","LotShape","LandContour","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolQC","Fence","SaleType","SaleCondition","SalePrice"
"X20","RL",8532,"No","Reg","Lvl","NAmes","1Fam","1Story",5,6,1954,36,"Hip","Wd Sdng","Wd Sdng","BrkFace",650,"TA","CBlock","TA","TA","No","Rec",1213,"Unf",0,84,1297,"Gd","Y","SBrkr",1297,0,0,1297,0,1,0,3,1,"TA",5,1,"TA","Attchd","Fin",2,498,"Y",0,0,0,0,0,1,"No","WD","Normal",11.9381932003746
"X20","RL",8658,"No","Reg","Lvl","NAmes","1Fam","1Story",6,5,1965,0,"Gable","Wd Sdng","Wd Sdng","BrkFace",101,"TA","CBlock","TA","TA","No","Rec",643,"Unf",0,445,1088,"Ex","Y","SBrkr",1324,0,0,1324,0,2,0,3,1,"TA",6,1,"TA","Attchd","RFn",2,440,"Y",0,138,0,0,0,1,"GdWo","WD","Abnorml",11.982929094216
"X20","RL",16905,"No","Reg","Lvl","Timber","1Fam","1Story",5,6,1959,0,"Gable","VinylSd","VinylSd","None",0,"TA","CBlock","TA","TA","Gd","BLQ",967,"Unf",0,383,1350,"Gd","Y","SBrkr",1328,0,0,1328,0,1,1,2,1,"TA",5,2,"Gd","Attchd","RFn",1,308,"P",0,104,0,0,0,1,"No","WD","Normal",12.0435537160324
"X85","RL",9180,"No","IR1","Lvl","SawyerW","1Fam","SFoyer",5,7,1983,0,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","Gd","TA","Av","ALQ",747,"LwQ",93,0,840,"Gd","Y","SBrkr",884,0,0,884,1,1,0,2,1,"Gd",5,0,"No","Attchd","RFn",2,504,"Y",240,0,0,0,0,1,"MnPrv","WD","Normal",11.8775685785581
"X20","RL",9200,"No","IR1","Lvl","CollgCr","1Fam","1Story",5,6,1975,5,"Hip","VinylSd","VinylSd","None",0,"TA","CBlock","Gd","TA","Av","LwQ",280,"BLQ",491,167,938,"TA","Y","SBrkr",938,0,0,938,1,1,0,3,1,"TA",5,0,"No","Detchd","Unf",1,308,"Y",145,0,0,0,0,1,"MnPrv","WD","Normal",11.7772109596156
"X20","RL",7945,"No","Reg","Lvl","NAmes","1Fam","1Story",5,6,1959,0,"Gable","BrkFace","Wd Sdng","None",0,"TA","CBlock","TA","TA","No","ALQ",179,"BLQ",506,465,1150,"Ex","Y","FuseA",1150,0,0,1150,1,1,0,3,1,"TA",6,0,"No","Attchd","RFn",1,300,"Y",0,0,0,0,0,1,"No","WD","Normal",11.8565151693603
"X120","RL",7658,"No","Reg","Lvl","NridgHt","TwnhsE","1Story",9,5,2005,0,"Hip","MetalSd","MetalSd","BrkFace",412,"Ex","PConc","Ex","TA","No","GLQ",456,"Unf",0,1296,1752,"Ex","Y","SBrkr",1752,0,0,1752,1,2,0,2,1,"Ex",6,1,"Gd","Attchd","RFn",2,576,"Y",196,82,0,0,0,1,"No","WD","Normal",12.6757637259376
"X50","RL",12822,"No","IR1","Lvl","Mitchel","1Fam","1.5Fin",7,5,2003,0,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Ex","TA","No","GLQ",1351,"Unf",0,83,1434,"Ex","Y","SBrkr",1518,631,0,2149,1,1,1,1,1,"Gd",6,1,"Ex","Attchd","RFn",2,670,"Y",168,43,0,0,198,1,"No","WD","Abnorml",12.3870850123755
"X20","FV",11096,"No","Reg","Lvl","Somerst","1Fam","1Story",8,5,2006,0,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Gd","TA","Av","GLQ",24,"Unf",0,1632,1656,"Ex","Y","SBrkr",1656,0,0,1656,0,2,0,3,1,"Gd",7,0,"No","Attchd","RFn",3,826,"Y",0,146,0,0,0,1,"No","WD","Normal",12.4280154762679
"X190","RM",4456,"No","Reg","Lvl","OldTown","2fmCon","2Story",4,5,1920,88,"Gable","MetalSd","MetalSd","None",0,"TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,736,736,"Gd","Y","SBrkr",736,716,0,1452,0,2,0,2,3,"TA",8,0,"No","No","No",0,0,"N",0,0,102,0,0,1,"No","New","Partial",11.6351430976945
"X20","RL",7742,"No","Reg","Lvl","Sawyer","1Fam","1Story",5,7,1966,0,"Gable","HdBoard","HdBoard","None",0,"TA","CBlock","TA","TA","No","BLQ",763,"Unf",0,192,955,"Ex","Y","SBrkr",955,0,0,955,1,1,0,3,1,"TA",6,0,"No","Attchd","Unf",1,386,"Y",0,0,0,0,0,1,"MnPrv","WD","Normal",11.7519423654407
"X60","RL",13869,"No","IR2","Lvl","Gilbert","1Fam","2Story",6,6,1997,0,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","Gd","TA","Av","GLQ",182,"Unf",0,612,794,"Gd","Y","SBrkr",794,676,0,1470,0,2,0,3,1,"TA",6,0,"No","Attchd","Fin",2,388,"Y",0,75,0,0,0,1,"No","WD","Normal",12.083905011556
"X50","RM",6240,"No","Reg","Lvl","BrkSide","1Fam","1.5Fin",6,6,1934,16,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","PConc","TA","TA","No","Unf",0,"Unf",0,816,816,"TA","Y","SBrkr",816,0,360,1176,0,1,0,3,1,"TA",6,1,"Gd","Detchd","Unf",2,528,"Y",112,0,0,0,0,1,"MnPrv","WD","Normal",11.6483301019764
"X90","RM",8472,"No","IR2","Bnk","IDOTRR","Duplex","1Story",5,5,1963,0,"Gable","Wd Sdng","Wd Sdng","None",0,"Fa","CBlock","Gd","TA","Gd","LwQ",104,"GLQ",712,0,816,"TA","N","SBrkr",816,0,0,816,1,1,0,2,1,"TA",5,0,"No","CarPort","Unf",2,516,"Y",106,0,0,0,0,1,"No","WD","Normal",11.6082356447746
"X20","RL",50271,"No","IR1","Low","Veenker","1Fam","1Story",9,5,1981,6,"Gable","WdShing","Wd Shng","None",0,"Gd","CBlock","Ex","TA","Gd","GLQ",1810,"Unf",0,32,1842,"Gd","Y","SBrkr",1842,0,0,1842,1,0,1,0,1,"Gd",5,1,"Gd","Attchd","Fin",3,894,"Y",857,72,0,0,0,1,"No","WD","Normal",12.8609986132699
"X80","RL",7134,"No","Reg","Bnk","NAmes","1Fam","SLvl",5,5,1955,0,"Gable","MetalSd","MetalSd","None",0,"TA","CBlock","TA","TA","No","ALQ",384,"Unf",0,0,384,"TA","Y","SBrkr",1360,0,0,1360,0,1,0,3,1,"TA",6,1,"TA","Detchd","Unf",2,572,"Y",0,50,0,0,0,1,"MnPrv","WD","Normal",11.7752897294377
"X20","RL",10175,"No","IR1","Lvl","NAmes","1Fam","1Story",6,5,1964,0,"Gable","HdBoard","Plywood","BrkFace",272,"TA","CBlock","TA","TA","No","BLQ",490,"Unf",0,935,1425,"Gd","Y","SBrkr",1425,0,0,1425,0,2,0,3,1,"TA",7,1,"Gd","Attchd","RFn",2,576,"Y",0,0,0,407,0,1,"No","WD","Normal",12.1034860567551
"X160","FV",2645,"Pave","Reg","Lvl","Somerst","Twnhs","2Story",8,5,1999,1,"Gable","MetalSd","MetalSd","BrkFace",456,"Gd","PConc","Gd","TA","No","GLQ",649,"Unf",0,321,970,"Ex","Y","SBrkr",983,756,0,1739,1,2,1,3,1,"Gd",7,0,"No","Attchd","Fin",2,480,"Y",115,0,0,0,0,1,"No","WD","Abnorml",12.0581525154536
"X60","RL",11645,"No","IR1","Lvl","CollgCr","1Fam","2Story",7,5,2004,0,"Gable","VinylSd","VinylSd","None",0,"Gd","PConc","Gd","TA","No","Unf",0,"Unf",0,860,860,"Ex","Y","SBrkr",860,860,0,1720,0,2,1,3,1,"Gd",7,0,"No","Attchd","RFn",2,565,"Y",0,70,0,0,0,1,"No","WD","Normal",12.1884177102915
"X60","RL",13682,"No","IR2","HLS","StoneBr","1Fam","2Story",10,5,2006,0,"Hip","VinylSd","VinylSd","BrkFace",1031,"Ex","PConc","Ex","TA","Gd","Unf",0,"Unf",0,1410,1410,"Ex","Y","SBrkr",1426,1519,0,2945,0,3,1,3,1,"Gd",10,1,"Gd","BuiltIn","Fin",3,641,"Y",192,0,37,0,0,1,"No","New","Partial",12.9917534274931
"X75","RM",7200,"No","Reg","Lvl","IDOTRR","1Fam","2.5Unf",5,7,1920,76,"Gable","MetalSd","MetalSd","None",0,"TA","BrkTil","TA","Fa","No","Unf",0,"Unf",0,530,530,"TA","N","SBrkr",581,530,0,1111,0,1,0,3,1,"Fa",6,0,"No","Detchd","Unf",1,288,"N",0,0,144,0,0,1,"No","WD","Normal",11.5228757958234
"X120","RL",6442,"No","IR1","Lvl","NridgHt","TwnhsE","1Story",8,5,2006,0,"Gable","VinylSd","VinylSd","Stone",178,"Gd","PConc","Gd","Gd","Mn","GLQ",24,"Unf",0,1346,1370,"Ex","Y","SBrkr",1370,0,0,1370,0,2,0,2,1,"Gd",6,1,"Gd","Attchd","RFn",2,484,"Y",120,49,0,0,0,1,"No","WD","Normal",12.2184951655287
"X20","RL",10665,"No","IR1","Lvl","CollgCr","1Fam","1Story",7,5,2003,0,"Gable","VinylSd","VinylSd","BrkFace",167,"Gd","PConc","Gd","TA","Av","GLQ",1013,"Unf",0,440,1453,"Ex","Y","SBrkr",1479,0,0,1479,1,2,0,3,1,"Gd",7,0,"No","Attchd","RFn",2,558,"Y",144,29,0,0,0,1,"No","WD","Normal",12.3282902782544
"X50","RL",15593,"No","Reg","Lvl","ClearCr","1Fam","1.5Fin",7,4,1953,0,"Gable","BrkFace","AsbShng","None",0,"Gd","CBlock","TA","TA","No","BLQ",603,"Unf",0,701,1304,"TA","Y","SBrkr",1304,983,0,2287,0,2,0,3,1,"TA",7,1,"TA","Attchd","Fin",2,667,"Y",0,21,114,0,0,1,"No","WD","Normal",12.3238556811866
"X20","RL",13651,"No","IR1","Lvl","NAmes","1Fam","1Story",7,6,1973,0,"Gable","Plywood","Plywood","BrkFace",1115,"TA","CBlock","Gd","TA","Gd","ALQ",1880,"Unf",0,343,2223,"Ex","Y","SBrkr",2223,0,0,2223,1,2,0,3,1,"TA",8,2,"Gd","Attchd","Fin",2,516,"Y",300,0,0,0,0,1,"No","WD","Normal",12.4049235042753
"X60","RL",10141,"No","IR1","Lvl","Gilbert","1Fam","2Story",7,5,1998,0,"Gable","VinylSd","VinylSd","BrkFace",40,"TA","PConc","Gd","TA","No","Unf",0,"Unf",0,832,832,"Gd","Y","SBrkr",885,833,0,1718,0,2,1,3,1,"TA",7,1,"TA","Attchd","Fin",2,427,"Y",0,94,0,0,291,1,"No","WD","Normal",12.1281111040605
"X20","RL",10200,"No","Reg","Lvl","NAmes","1Fam","1Story",5,7,1954,49,"Gable","Wd Sdng","Wd Sdng","BrkFace",104,"TA","CBlock","TA","TA","No","ALQ",320,"BLQ",362,404,1086,"Gd","Y","SBrkr",1086,0,0,1086,1,1,0,3,1,"TA",6,0,"No","Attchd","Unf",2,490,"Y",0,0,0,0,0,1,"GdWo","WD","Normal",11.8837991283088
"X50","RM",5790,"No","Reg","Lvl","OldTown","1Fam","2Story",3,6,1915,35,"Gambrel","VinylSd","VinylSd","None",0,"Gd","CBlock","Fa","TA","No","Unf",0,"Unf",0,840,840,"Gd","N","SBrkr",840,765,0,1605,0,2,0,3,2,"TA",8,0,"No","Detchd","Unf",1,379,"Y",0,0,202,0,0,1,"No","WD","Normal",11.5843154610569
"X180","RM",1596,"No","Reg","Lvl","MeadowV","Twnhs","SLvl",4,5,1973,0,"Gable","CemntBd","CmentBd","None",0,"TA","CBlock","Gd","TA","Gd","GLQ",462,"Unf",0,0,462,"TA","Y","SBrkr",526,462,0,988,1,1,0,2,1,"TA",5,0,"No","BuiltIn","Unf",1,297,"Y",120,101,0,0,0,1,"GdWo","WD","Normal",11.418614785499
"X50","RM",8635,"No","Reg","Lvl","BrkSide","1Fam","1.5Fin",5,5,1948,53,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","CBlock","TA","TA","No","BLQ",336,"GLQ",41,295,672,"TA","Y","SBrkr",1072,213,0,1285,1,1,0,2,1,"TA",6,0,"No","Detchd","Unf",1,240,"Y",0,0,0,0,0,1,"MnPrv","WD","Normal",11.7519423654407
"X90","RL",10778,"No","Reg","Lvl","Sawyer","Duplex","1Story",4,5,1968,0,"Hip","HdBoard","HdBoard","None",0,"TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1768,1768,"TA","N","SBrkr",1768,0,0,1768,0,2,0,4,2,"TA",8,0,"No","No","No",0,0,"Y",0,0,0,0,0,1,"No","WD","Normal",11.8240798936072
"X50","RM",10440,"Grvl","Reg","Lvl","OldTown","1Fam","2Story",5,6,1910,71,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","PConc","TA","TA","No","Unf",0,"Unf",0,440,440,"Gd","Y","SBrkr",682,548,0,1230,0,1,1,2,1,"TA",5,0,"No","Detchd","Unf",2,440,"Y",74,0,128,0,0,1,"MnPrv","WD","Normal",11.6082356447746
"X60","RL",13000,"No","Reg","Lvl","NAmes","1Fam","2Story",6,6,1968,0,"Gable","VinylSd","VinylSd","BrkFace",576,"TA","CBlock","Gd","TA","No","Rec",448,"Unf",0,448,896,"TA","Y","SBrkr",1182,960,0,2142,0,2,1,4,1,"Gd",8,1,"Gd","Attchd","Fin",1,509,"Y",0,72,0,0,252,1,"No","WD","Normal",12.173032791452
"X20","RL",10206,"No","Reg","Lvl","Somerst","1Fam","1Story",8,5,2007,0,"Gable","VinylSd","VinylSd","Stone",468,"TA","PConc","Gd","TA","No","GLQ",33,"Unf",0,1530,1563,"Ex","Y","SBrkr",1563,0,0,1563,0,2,0,3,1,"Gd",6,1,"Gd","Attchd","RFn",3,758,"Y",144,99,0,0,0,1,"No","WD","Normal",12.4090134895269
"X80","RL",8530,"No","IR1","Lvl","Gilbert","1Fam","SLvl",7,5,1995,1,"Gable","HdBoard","HdBoard","BrkFace",22,"TA","PConc","Gd","TA","No","Unf",0,"Unf",0,384,384,"Gd","Y","SBrkr",804,670,0,1474,0,2,1,3,1,"TA",7,1,"TA","BuiltIn","Fin",2,400,"Y",120,72,0,0,0,1,"No","WD","Normal",12.0346910287746
"X50","C (all)",8470,"No","IR1","Lvl","IDOTRR","1Fam","1.5Fin",3,2,1915,67,"Hip","Plywood","Plywood","None",0,"Fa","CBlock","TA","Fa","No","Unf",0,"Unf",0,1013,1013,"TA","N","SBrkr",1013,0,513,1526,0,1,0,2,1,"Fa",6,0,"No","No","No",0,0,"N",0,0,156,0,0,1,"MnPrv","ConLD","Abnorml",11.3504065354725
"X20","RL",8070,"No","Reg","Lvl","CollgCr","1Fam","1Story",4,5,1994,1,"Gable","VinylSd","VinylSd","None",0,"TA","PConc","Gd","TA","No","GLQ",588,"Unf",0,402,990,"Ex","Y","SBrkr",990,0,0,990,1,1,0,3,1,"TA",5,0,"No","No","No",0,0,"Y",0,0,0,0,0,1,"No","WD","Normal",11.7248058240057
